GID;NOMBRE;OBSERVACIONES;TIPO_LOCAL_SEL_DOM;THE_GEOM.SDO_POINT.X;THE_GEOM.SDO_POINT.Y
 1342;Autoservice LUCAS;;Supermercado; 586693.078038342; 6140422.46252536
 1343;Autoservice KINKO 8;;Supermercado; 585712.725798467; 6139788.716507608
 1350;Autoservice LA BOHEMIA 2;;Supermercado; 572811.520290333; 6143815.930355296
 1358;Autoservice PARIS;En 5472;Supermercado; 570785.516703386; 6146748.986020018
 1363;Autoservice ;;Supermercado; 568886.863502038; 6149158.410903092
 1364;Autoservice UNICENTRO;;Supermercado; 568646.119953225; 6149456.219722576
 1397;5 HERMANOS;1 Cont.;Supermercado; 574247.396247984; 6138465.431645094
 1402;LA CHACRA;;Supermercado; 579483.277443805; 6137710.089832791
 1332;Autoservice LOS PARAISOS;En 6125;Supermercado; 576320.746838124; 6149847.679272592
 1405;SUPER VERO;;Supermercado; 577306.396172572; 6139851.98557103
 1346;Autoservice VITER;;Supermercado; 570286.280311219; 6145215.652974054
 1349;Autoservice ARIEL;En 4499;Supermercado; 572349.690041289; 6144155.293803366
 1353;Autoservice LA FAMILIA;;Supermercado; 573113.291782423; 6145853.563873172
 1366;Supermercado TATA;;Supermercado; 578576.580187599; 6146237.502744216
 1369;Autoservice LA CRUZ;En Av BOLIVIA 2895;Supermercado; 582544.872516698; 6140701.957425646
 1368;Autoservice FERIA VEGETAL;Av Italia 5558;Supermercado; 583399.281494626; 6139480.807416554
 1370;Autoservice SAN CONO;En 3682;Supermercado; 566493.393268971; 6139202.871838735
 1330;Autoservice IBIZA 2;En 4711;Supermercado; 577154.173258639; 6146376.974528796
 1340;Autoservice SUPER SOL;Esquina AMAZONAS;Supermercado; 582200.205677874; 6138131.486159654
 1348;Autoservice LAS BARRERAS;En 4835;Supermercado; 571634.46628904; 6145118.569572822
 1403;MERCADITO RIVERA;;Supermercado; 577245.204784982; 6137363.452892918
 264;Supermercado TIENDA INGLESA;EN 3771;Supermercado; 576293.915666557; 6141482.147093452
 265;Supermercado TATA;;Supermercado; 578516.24182785; 6145599.89329955
 20;Supermercado DEVOTO;;Supermercado; 574771.538955497; 6141104.512961093
 22;Supermercado DISCO;;Supermercado; 578151.026113242; 6136703.224560775
 25;Supermercado MULTIAHORRO;;Supermercado; 573667.875171512; 6142910.216736346
