id_contenedor_res;circuito;municipio;gid
 0;S/D;S/D; 0
 1;D_DU_RM_CL_02;D; 12249
 2;D_DU_RM_CL_02;D; 12250
 3;D_DU_RM_CL_02;D; 12253
 4;D_DU_RM_CL_02;D; 12255
 5;D_DU_RM_CL_02;D; 12259
 6;E_DU_RM_CL_14;E; 12260
 7;E_DU_RM_CL_14;E; 12262
 8;E_DU_RM_CL_14;E; 12263
 9;E_DU_RM_CL_14;E; 12264
 10;E_DU_RM_CL_14;E; 12265
 11;E_DU_RM_CL_14;E; 12267
 12;E_DU_RM_CL_16;E; 12270
 13;E_DU_RM_CL_16;E; 12272
 14;E_DU_RM_CL_16;E; 12273
 15;E_DU_RM_CL_14;E; 12275
 16;E_DU_RM_CL_14;E; 12276
 17;E_DU_RM_CL_14;E; 12277
 18;E_DU_RM_CL_14;E; 12278
 19;E_DU_RM_CL_14;E; 12279
 20;E_DU_RM_CL_14;E; 12282
 21;E_DU_RM_CL_14;E; 12283
 22;E_DU_RM_CL_16;E; 12284
 23;E_DU_RM_CL_16;E; 12286
 24;E_DU_RM_CL_16;E; 12291
 25;E_DU_RM_CL_16;E; 12293
 26;E_DU_RM_CL_16;E; 12294
 27;E_DU_RM_CL_16;E; 12297
 28;E_DU_RM_CL_16;E; 12298
 29;D_DU_RM_CL_06;D; 12300
 30;G_DU_RM_CL_02;G; 12305
 31;D_DU_RM_CL_02;D; 12309
 32;D_DU_RM_CL_02;D; 12310
 33;D_DU_RM_CL_02;D; 12313
 34;E_DU_RM_CL_16;E; 12315
 35;D_DU_RM_CL_02;D; 12318
 36;C_DU_RM_CL_01;C; 12321
 37;C_DU_RM_CL_01;C; 12322
 38;C_DU_RM_CL_01;C; 12326
 39;C_DU_RM_CL_01;C; 12327
 40;C_DU_RM_CL_01;C; 12328
 41;E_DU_RM_CL_16;E; 12330
 42;C_DU_RM_CL_01;C; 12332
 43;C_DU_RM_CL_01;C; 12334
 44;C_DU_RM_CL_01;C; 12335
 45;C_DU_RM_CL_01;C; 12337
 46;C_DU_RM_CL_01;C; 12338
 47;C_DU_RM_CL_01;C; 12342
 48;C_DU_RM_CL_01;C; 12344
 49;C_DU_RM_CL_01;C; 12347
 50;C_DU_RM_CL_01;C; 12348
 51;C_DU_RM_CL_01;C; 12350
 52;C_DU_RM_CL_01;C; 12351
 53;C_DU_RM_CL_01;C; 12353
 54;C_DU_RM_CL_01;C; 12354
