id_contenedor_res;id_ccz_municipio_cont;id_barrio_cont;id_empresa;id_ccz_municipio_empresa;id_barrio_empresa;id_empresa_contenedor
 4326; 5; 8; 778; 5; 8; 4357
 4326; 5; 8; 6958; 5; 8; 4358
 4326; 5; 8; 922; 5; 8; 4359
 4326; 5; 8; 989; 5; 50; 4360
 4326; 5; 8; 1880; 5; 8; 4361
 1230; 4; 10; 477; 4; 10; 4362
 1231; 5; 7; 5261; 5; 7; 4363
 1231; 5; 7; 2168; 5; 8; 4364
 1232; 5; 8; 2246; 5; 8; 4365
 1232; 5; 8; 1004; 5; 8; 4366
 1233; 5; 7; 2110; 5; 15; 4367
 1233; 5; 7; 5297; 5; 7; 4368
 1233; 5; 7; 3304; 5; 7; 4369
 1233; 5; 7; 4875; 5; 7; 4370
 1233; 5; 7; 1759; 5; 7; 4371
 1234; 6; 12; 2839; 9; 17; 4372
 1235; 2; 41; 5181; 2; 41; 4373
 1241; 6; 12; 2334; 9; 59; 4374
 1244; 5; 7; 5261; 5; 7; 4375
 1244; 5; 7; 2168; 5; 8; 4376
 1245; 5; 10; 3966; 5; 8; 4377
 1245; 5; 10; 5628; 5; 8; 4378
 1245; 5; 10; 970; 5; 8; 4379
 1245; 5; 10; 6288; 5; 10; 4380
 1245; 5; 10; 2723; 5; 8; 4381
 1245; 5; 10; 1348; 5; 8; 4382
 1245; 5; 10; 5260; 5; 10; 4383
 1245; 5; 10; 4154; 5; 8; 4384
 1245; 5; 10; 4915; 5; 10; 4385
 1245; 5; 10; 3849; 5; 8; 4386
 1246; 5; 10; 4517; 5; 10; 4387
 1247; 5; 8; 2334; 5; 59; 4388
 1247; 5; 8; 6563; 5; 8; 4389
 1247; 5; 8; 2289; 5; 8; 4390
 1247; 5; 8; 1302; 5; 45; 4391
 1249; 5; 8; 3624; 5; 8; 4392
 1249; 5; 8; 3331; 5; 8; 4393
 1253; 5; 8; 6336; 5; 8; 4394
 1254; 5; 8; 4858; 5; 8; 4395
 5090; 5; 8; 4858; 5; 8; 4396
 8992; 5; 9; 4624; 5; 8; 4397
 9096; 5; 9; 957; 5; 9; 4398
 9096; 5; 9; 5341; 5; 9; 4399
 9096; 5; 9; 3148; 5; 9; 4400
 9096; 5; 9; 4927; 5; 8; 4401
 9096; 5; 9; 5590; 5; 9; 4402
 1257; 5; 8; 1651; 5; 8; 4403
 1257; 5; 8; 4858; 5; 8; 4404
 1257; 5; 8; 6674; 5; 8; 4405
 1257; 5; 8; 3460; 5; 8; 4406
 1257; 5; 8; 2009; 5; 8; 4407
 1258; 5; 8; 321; 5; 61; 4408
 1258; 5; 8; 715; 5; 8; 4409
 5121; 5; 8; 2771; 5; 8; 4410
 5121; 5; 8; 4260; 5; 8; 4411
 5121; 5; 8; 6708; 5; 8; 4412
 1259; 5; 8; 6502; 5; 8; 4413
 1259; 5; 8; 3576; 5; 8; 4414
 8993; 5; 9; 1409; 5; 9; 4415
 8993; 5; 9; 6821; 5; 9; 4416
 1262; 5; 8; 3415; 5; 8; 4417
 1262; 5; 8; 958; 5; 29; 4418
 1262; 5; 8; 1572; 5; 8; 4419
 1262; 5; 8; 3981; 5; 50; 4420
 1262; 5; 8; 4268; 5; 8; 4421
 1262; 5; 8; 6338; 5; 8; 4422
 1262; 5; 8; 647; 5; 60; 4423
 1262; 5; 8; 7084; 5; 8; 4424
 8991; 5; 9; 4873; 7; 9; 4425
 1263; 4; 10; 5569; 4; 10; 4426
 1266; 4; 10; 1009; 4; 10; 4427
 1268; 4; 47; 6369; 4; 47; 4428
 1268; 4; 47; 5967; 4; 47; 4429
 1268; 4; 47; 318; 4; 47; 4430
 1273; 4; 10; 4901; 4; 10; 4431
 1274; 4; 10; 852; 4; 10; 4432
 5899; 5; 8; 1408; 5; 8; 4433
 1278; 5; 8; 5309; 5; 8; 4434
 1280; 5; 8; 6884; 5; 8; 4435
