id_hogar;tipo_hogar;sanitaria;asentamiento;estrato_social;personas_mayores_14;personas_menores_14;numero
 0;S/D;S/D;S/D;S/D; 0; 0; 0
 16678;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio - bajo; 1; 0; 2017053259
 16679;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 0; 2017053263
 16680;Casa;Sí - con cisterna;Sí;Nivel económico bajo; 2; 1; 2017053270
 16681;Casa;Sí - con cisterna;NO;Nivel económico medio - alto; 3; 0; 2017053271
 16682;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 0; 2017053274
 16683;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 4; 0; 2017053282
 16684;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 2; 0; 2017053283
 16685;Casa;Sí - sin cisterna;NO;Nivel económico medio - bajo; 2; 2; 2017053288
 16686;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio; 3; 0; 2017053292
 16687;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico alto; 2; 0; 2017053294
 16688;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 2; 0; 2017053295
 16689;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico alto; 1; 0; 2017053299
 16690;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 0; 2017053300
 16691;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 0; 2017053302
 16692;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico alto; 3; 1; 2017053303
 16693;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 2; 0; 2017053304
 16694;Casa;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 0; 2017053308
 16695;Casa;Sí - con cisterna;NO;Nivel económico medio; 2; 1; 2017053309
 16696;Casa;Sí - con cisterna;NO;Nivel económico medio - alto; 3; 0; 2017053310
 16697;Casa;Sí - con cisterna;NO;Nivel económico medio; 2; 0; 2017053312
 16698;Casa;Sí - con cisterna;Sí;Nivel económico bajo; 3; 1; 2017053315
 16699;Casa;Sí - con cisterna;NO;Nivel económico medio; 4; 0; 2017053316
 16700;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico alto; 2; 0; 2017053327
 16727;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 2; 0; 2017053391
 16728;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico alto; 2; 0; 2017053394
 16729;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio; 1; 0; 2017053403
 16730;Casa;Sí - con cisterna;Sí;Nivel económico bajo; 2; 1; 2017053405
 16731;Casa;Sí - con cisterna;NO;Nivel económico bajo; 1; 0; 2017053407
 16732;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 2; 0; 2017053413
 16733;Apartamento o casa en complejo habitacional;Sí - con cisterna;NO;Nivel económico medio; 2; 0; 2017053423
 16734;Apartamento o casa en complejo habitacional;Sí - con cisterna;NO;Nivel económico bajo; 1; 0; 2017053425
 16735;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico alto; 1; 0; 2017053437
 16736;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico alto; 1; 0; 2017053438
 16737;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico alto; 2; 2; 2017053440
 16738;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio - alto; 2; 0; 2017053441
 16739;Casa;Sí - con cisterna;NO;Nivel económico medio - alto; 5; 1; 2017053442
 16740;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 2; 2; 2017053444
 16741;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 2; 0; 2017053446
 16742;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 1; 0; 2017053450
 16743;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio; 2; 0; 2017053451
 16768;Casa;Sí - con cisterna;Sí;Nivel económico medio - bajo; 7; 0; 2017053544
 16744;Casa;Sí - con cisterna;NO;Nivel económico medio; 3; 1; 2017053454
 16745;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio; 1; 0; 2017053456
 16746;Casa;Sí - con cisterna;NO;Nivel económico medio; 3; 0; 2017053457
 16747;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 3; 0; 2017053467
 16748;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 2; 0; 2017053475
 16749;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 0; 2017053478
 16750;Casa;Sí - con cisterna;NO;Nivel económico alto; 4; 0; 2017053482
 16751;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio - alto; 6; 0; 2017053483
 16752;Casa;Sí - con cisterna;Sí;Nivel económico bajo; 1; 0; 2017053499
 16753;Casa;Sí - con cisterna;NO;Nivel económico medio; 2; 0; 2017053500
 16754;Casa;Sí - con cisterna;NO;Nivel económico bajo; 1; 0; 2017053501
 16755;Casa;Sí - con cisterna;NO;Nivel económico bajo; 2; 0; 2017053502
 16756;Casa;Sí - con cisterna;NO;Nivel económico medio; 1; 0; 2017053503
 16757;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 2; 0; 2017053505
 16758;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico alto; 1; 0; 2017053509
 16759;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio; 2; 0; 2017053510
 16760;Casa;Sí - con cisterna;NO;Nivel económico alto; 2; 0; 2017053513
 16761;Casa;Sí - con cisterna;NO;Nivel económico alto; 2; 0; 2017053519
 16762;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio; 2; 0; 2017053523
 16763;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio - bajo; 2; 1; 2017053524
 16764;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 0; 2017053532
 16765;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 2; 2; 2017053533
 16766;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 0; 2017053538
 16767;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio; 2; 1; 2017053540
 16769;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico bajo; 3; 0; 2017053545
 16770;Casa;Sí - con cisterna;NO;Nivel económico medio; 2; 0; 2017053549
 16771;Apartamento o casa en complejo habitacional;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 0; 2017053557
 16772;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 2; 1; 2017053559
 16773;Casa;Sí - con cisterna;NO;Nivel económico bajo; 2; 3; 2017053560
 16774;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 2; 0; 2017053563
 16775;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico alto; 1; 0; 2017053564
 16776;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 2; 0; 2017053565
 16777;Casa;Sí - sin cisterna;NO;Nivel económico medio; 3; 2; 2017053577
 16778;Apartamento o casa en complejo habitacional;Sí - con cisterna;NO;Nivel económico medio - bajo; 3; 0; 2017053585
 16779;Casa;Sí - con cisterna;NO;Nivel económico bajo; 2; 0; 2017053592
 16780;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico bajo; 2; 0; 2017053596
 16781;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio - bajo; 4; 0; 2017053605
 16782;Casa;Sí - con cisterna;NO;Nivel económico alto; 8; 0; 2017053611
 16783;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 2; 1; 2017053613
 16784;Casa;Sí - con cisterna;NO;Nivel económico alto; 3; 1; 2017053614
 16785;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 4; 1; 2017053615
 16786;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 3; 1; 2017053616
 16787;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio - bajo; 2; 1; 2017053621
 16788;Casa;Sí - sin cisterna;NO;Nivel económico medio; 3; 0; 2017053626
 16789;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 1; 0; 2017053629
 16790;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 1; 0; 2017053633
 16791;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 1; 0; 2017053637
 16792;Casa;Sí - con cisterna;NO;Nivel económico medio - alto; 4; 0; 2017053640
 16793;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio; 2; 1; 2017053643
 16794;Casa;Sí - con cisterna;NO;Nivel económico bajo; 2; 0; 2017053646
 16795;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 2; 1; 2017053650
 16796;Apartamento o casa en complejo habitacional;Sí - con cisterna;NO;Nivel económico medio - alto; 3; 0; 2017053651
 16797;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico alto; 2; 0; 2017053653
 16798;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 0; 2017053658
 16799;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico alto; 2; 2; 2017053668
 16800;Casa;Sí - con cisterna;NO;Nivel económico medio - alto; 3; 0; 2017053670
 16802;Apartamento o casa en complejo habitacional;Sí - con cisterna;NO;Nivel económico medio; 1; 0; 2017053675
