RALOCA_ID;RACLAS_ID;DESCRIPCION_CLASE;RASUBC_ID;DESCRIPCION_SUBC;RAGIRO_ID;DESCRIPCION_GIRO;FDESDE;FHASTA
 12849; 10;Comercialización de alimentos; 1;Comercialización de alimentos; 7;Supermercado ;2008/05/21 00:00:00.000;2013/05/21 00:00:00.000
 12849; 10;Comercialización de alimentos; 1;Comercialización de alimentos; 1;Pescadería;2008/05/21 00:00:00.000;2013/05/21 00:00:00.000
 12849; 6;Industrialización de alimentos con expendio; 1;Industrialización de alimentos con expendio; 4;Cocción de panificados;2008/05/21 00:00:00.000;2013/05/21 00:00:00.000
 12849; 10;Comercialización de alimentos; 1;Comercialización de alimentos; 5;Fiambrería;2008/05/21 00:00:00.000;2013/05/21 00:00:00.000
 12849; 10;Comercialización de alimentos; 1;Comercialización de alimentos; 26;Venta de lácteos;2008/05/21 00:00:00.000;2013/05/21 00:00:00.000
 12849; 6;Industrialización de alimentos con expendio; 1;Industrialización de alimentos con expendio; 1;Panaderia;2008/05/21 00:00:00.000;2013/05/21 00:00:00.000
 12849; 10;Comercialización de alimentos; 1;Comercialización de alimentos; 24;Venta de bebidas alcoholicas;2008/05/21 00:00:00.000;2013/05/21 00:00:00.000
 12849; 10;Comercialización de alimentos; 1;Comercialización de alimentos; 23;Venta de bebidas analcoholicas;2008/05/21 00:00:00.000;2013/05/21 00:00:00.000
 12849; 11;Preparación y Servicio de Alimentos; 1;Preparación y Servicio de Alimentos; 3;Rotisería;2008/05/21 00:00:00.000;2013/05/21 00:00:00.000
 12849; 6;Industrialización de alimentos con expendio; 1;Industrialización de alimentos con expendio; 5;Confiteria;2008/05/21 00:00:00.000;2013/05/21 00:00:00.000
 12849; 10;Comercialización de alimentos; 1;Comercialización de alimentos; 25;Venta de helados envasados;2008/05/21 00:00:00.000;2013/05/21 00:00:00.000
 12849; 10;Comercialización de alimentos; 1;Comercialización de alimentos; 19;Venta de frutas y hortalizas;2008/05/21 00:00:00.000;2013/05/21 00:00:00.000
 12849; 10;Comercialización de alimentos; 1;Comercialización de alimentos; 22;Venta de hielo;2008/05/21 00:00:00.000;2013/05/21 00:00:00.000
 10799; 13;Productos Cárnicos; 1;Productos Cárnicos; 18;Fabrica de chacinados;2015/04/13 00:00:00.000;2020/04/13 00:00:00.000
 10799; 8;Almacenamiento de alimentos; 1;Almacenamiento de alimentos; 6;Distribuidor con depósito;2015/04/13 00:00:00.000;2020/04/13 00:00:00.000
 31375; 6;Industrialización de alimentos con expendio; 1;Industrialización de alimentos con expendio; 4;Cocción de panificados;2011/04/29 00:00:00.000;2016/04/29 00:00:00.000
 10861; 10;Comercialización de alimentos; 1;Comercialización de alimentos; 3;Almacén al por mayor;2006/09/01 00:00:00.000;2011/09/01 00:00:00.000
 10879; 11;Preparación y Servicio de Alimentos; 1;Preparación y Servicio de Alimentos; 6;Cantina con elaboración;2007/05/28 00:00:00.000;2012/05/28 00:00:00.000
 10879; 10;Comercialización de alimentos; 1;Comercialización de alimentos; 23;Venta de bebidas analcoholicas;2007/05/28 00:00:00.000;2012/05/28 00:00:00.000
 10704; 11;Preparación y Servicio de Alimentos; 1;Preparación y Servicio de Alimentos; 13;Parrillada;2015/10/20 00:00:00.000;2020/10/20 00:00:00.000
 10704; 10;Comercialización de alimentos; 1;Comercialización de alimentos; 10;Bar;2015/10/20 00:00:00.000;2020/10/20 00:00:00.000
 12975; 6;Industrialización de alimentos con expendio; 1;Industrialización de alimentos con expendio; 2;Pastas frescas;;
 12975; 10;Comercialización de alimentos; 1;Comercialización de alimentos; 23;Venta de bebidas analcoholicas;;
 12975; 10;Comercialización de alimentos; 1;Comercialización de alimentos; 25;Venta de helados envasados;;
 12975; 10;Comercialización de alimentos; 1;Comercialización de alimentos; 26;Venta de lácteos;;
 12975; 10;Comercialización de alimentos; 1;Comercialización de alimentos; 5;Fiambrería;;
 12975; 11;Preparación y Servicio de Alimentos; 1;Preparación y Servicio de Alimentos; 3;Rotisería;;
 12975; 10;Comercialización de alimentos; 1;Comercialización de alimentos; 17;Venta de productos envasados;;
 12975; 10;Comercialización de alimentos; 1;Comercialización de alimentos; 24;Venta de bebidas alcoholicas;;
 12980; 8;Almacenamiento de alimentos; 1;Almacenamiento de alimentos; 5;Distribuidor sin depósito;2006/02/20 00:00:00.000;2011/02/20 00:00:00.000
 12980; 8;Almacenamiento de alimentos; 1;Almacenamiento de alimentos; 1;Depósito;2006/02/20 00:00:00.000;2011/02/20 00:00:00.000
 12988; 11;Preparación y Servicio de Alimentos; 1;Preparación y Servicio de Alimentos; 4;Pizzería;2010/05/31 00:00:00.000;2015/05/31 00:00:00.000
 12988; 11;Preparación y Servicio de Alimentos; 1;Preparación y Servicio de Alimentos; 1;Restaurante;2010/05/31 00:00:00.000;2015/05/31 00:00:00.000
 12988; 10;Comercialización de alimentos; 1;Comercialización de alimentos; 10;Bar;2010/05/31 00:00:00.000;2015/05/31 00:00:00.000
 12988; 10;Comercialización de alimentos; 1;Comercialización de alimentos; 8;Cafetería;2010/05/31 00:00:00.000;2015/05/31 00:00:00.000
 13002; 11;Preparación y Servicio de Alimentos; 1;Preparación y Servicio de Alimentos; 6;Cantina con elaboración;2008/06/27 00:00:00.000;2013/06/27 00:00:00.000
 13002; 10;Comercialización de alimentos; 1;Comercialización de alimentos; 23;Venta de bebidas analcoholicas;2008/06/27 00:00:00.000;2013/06/27 00:00:00.000
 13002; 10;Comercialización de alimentos; 1;Comercialización de alimentos; 25;Venta de helados envasados;2008/06/27 00:00:00.000;2013/06/27 00:00:00.000
 13002; 10;Comercialización de alimentos; 1;Comercialización de alimentos; 26;Venta de lácteos;2008/06/27 00:00:00.000;2013/06/27 00:00:00.000
 13068; 11;Preparación y Servicio de Alimentos; 1;Preparación y Servicio de Alimentos; 12;Tryller en predio particular;2006/08/02 00:00:00.000;2011/08/02 00:00:00.000
 13068; 13;Productos Cárnicos; 1;Productos Cárnicos; 2;Productos a base de carne y/o carne picada - no industrial;2006/08/02 00:00:00.000;2011/08/02 00:00:00.000
 13068; 10;Comercialización de alimentos; 1;Comercialización de alimentos; 24;Venta de bebidas alcoholicas;2006/08/02 00:00:00.000;2011/08/02 00:00:00.000
 13068; 10;Comercialización de alimentos; 1;Comercialización de alimentos; 23;Venta de bebidas analcoholicas;2006/08/02 00:00:00.000;2011/08/02 00:00:00.000
 13301; 11;Preparación y Servicio de Alimentos; 1;Preparación y Servicio de Alimentos; 1;Restaurante;2008/01/09 00:00:00.000;2013/01/09 00:00:00.000
 13301; 10;Comercialización de alimentos; 1;Comercialización de alimentos; 8;Cafetería;2008/01/09 00:00:00.000;2013/01/09 00:00:00.000
 13301; 10;Comercialización de alimentos; 1;Comercialización de alimentos; 10;Bar;2008/01/09 00:00:00.000;2013/01/09 00:00:00.000
 13301; 11;Preparación y Servicio de Alimentos; 1;Preparación y Servicio de Alimentos; 4;Pizzería;2008/01/09 00:00:00.000;2013/01/09 00:00:00.000
 13217; 11;Preparación y Servicio de Alimentos; 1;Preparación y Servicio de Alimentos; 5;Salón de fiestas;2008/03/07 00:00:00.000;2013/03/07 00:00:00.000
 13267; 10;Comercialización de alimentos; 1;Comercialización de alimentos; 6;Autoservice;2007/01/02 00:00:00.000;2012/01/02 00:00:00.000
 13267; 6;Industrialización de alimentos con expendio; 1;Industrialización de alimentos con expendio; 4;Cocción de panificados;2007/01/02 00:00:00.000;2012/01/02 00:00:00.000
 13267; 10;Comercialización de alimentos; 1;Comercialización de alimentos; 18;Venta de golosinas;2007/01/02 00:00:00.000;2012/01/02 00:00:00.000
 13267; 10;Comercialización de alimentos; 1;Comercialización de alimentos; 26;Venta de lácteos;2007/01/02 00:00:00.000;2012/01/02 00:00:00.000
 13267; 10;Comercialización de alimentos; 1;Comercialización de alimentos; 25;Venta de helados envasados;2007/01/02 00:00:00.000;2012/01/02 00:00:00.000
 13267; 10;Comercialización de alimentos; 1;Comercialización de alimentos; 22;Venta de hielo;2007/01/02 00:00:00.000;2012/01/02 00:00:00.000
